name,description,coordinates
CELDA NUEVA PROVIDENCIA TIQUISATE (ETIQGTNP),"CELDA NUEVA PROVIDENCIA TIQUISATE(ETIQGTNP)
id celda:4217
isla: ESCUINTLA","[(14.3388, -91.380166666667)]"
CELDA UVG CAMPUS SUR (ESLCGTUC),"CELDA UVG CAMPUS SUR(ESLCGTUC)
id celda:5582
isla: ESCUINTLA","[(14.33145, -91.059088888889)]"
ESCUELA DE PARVULOS JESUS RODAS (QTZLGTEP),"ESCUELA DE PARVULOS JESUS RODAS(QTZLGTEP)
id celda:
Isla: QUETZALTENANGO","[(14.837008333333, -91.51435)]"
COLONIA MOLINA (QTZLGTOO),"COLONIA MOLINA(QTZLGTOO)
id celda:9474
isla: QUETZALTENANGO","[(14.837758333333, -91.50600277777801)]"
TANQUE LA MUÑECA (QTZLGTTM),"TANQUE LA MUÑECA(QTZLGTTM)
id celda:
isla: QUETZALTENANGO","[(14.834275, -91.513225)]"
ESTADIO MARIO CAMPOSECO (QTZLGTER),"ESTADIO MARIO CAMPOSECO(QTZLGTER)
id celda:9481
Isla: QUETZALTENANGO","[(14.841086111111, -91.517833333333)]"
IGLESIA SAN NICOLAS (QTZLGTIS),"IGLESIA SAN NICOLAS(QTZLGTIS)
id celda:
isla: QUETZALTENANGO","[(14.843169444444, -91.518827777778)]"
IGLESIA SAN BARTOLOME (QTZLGTIA),"IGLESIA SAN BARTOLOME(QTZLGTIA)
id celda:9485
Isla: QUETZALTENANGO","[(14.831152777778, -91.511894444444)]"
COLEGIO LA PATRIA (QTZLGTCR),"COLEGIO LA PATRIA(QTZLGTCR)
id celda:
isla: QUETZALTENANGO","[(14.840944444444, -91.523772222222)]"
LICEO GUATEMALA (QTZLGTLG),"LICEO GUATEMALA(QTZLGTLG)
id celda:9488
Isla: QUETZALTENANGO","[(14.842905555556, -91.53597500000001)]"
COLONIA EL PARAISO QUETZALTENANGO (QTZLGTPU),"COLONIA EL PARAISO QUETZALTENANGO(QTZLGTPU)
id celda:
isla: QUETZALTENANGO","[(14.839519444444, -91.534613888889)]"
MERCADO LAS FLORES (QTZLGTMO),"MERCADO LAS FLORES(QTZLGTMO)
id celda:
Isla: QUETZALTENANGO","[(14.833213888889, -91.524686111111)]"
CEMENTERIO GENERAL QUETZALTENANGO (QTZLGTCG),"CEMENTERIO GENERAL QUETZALTENANGO(QTZLGTCG)
id celda:
isla: QUETZALTENANGO","[(14.837727777778, -91.52805833333301)]"
ALDEAS INFANTILES (QTZLGTAI),"ALDEAS INFANTILES(QTZLGTAI)
id celda:9464
Isla: QUETZALTENANGO","[(14.844155555556, -91.52709722222201)]"
GBM (GNCYGTB3),"GBM(GNCYGTB3)
id celda:
Isla: VILLA DE GUADALUPE","[(14.582472222222, -90.494641666667)]"
VILLA DE GUADALUPE (GNCYGTVG),"VILLA DE GUADALUPE(GNCYGTVG)
id celda:1009
isla: MPBN
VILLA DE GUADALUPE","[(14.591222222222, -90.50822222222199)]"
ELGIN (GNCYGTEL),"ELGIN(GNCYGTEL)
id celda:1120
Isla: VILLA DE GUADALUPE","[(14.566972222222, -90.525388888889)]"
CELDA BILLBOARD ELGIN (GNCYGTLG),"CELDA BILLBOARD ELGIN(GNCYGTLG)
id celda:2567
isla: VILLA DE GUADALUPE","[(14.566069444444, -90.528105555556)]"
EL PUEBLITO (GSCPGTPU),"EL PUEBLITO(GSCPGTPU)
id celda:9027
Isla: VILLA DE GUADALUPE","[(14.56355, -90.48841944444399)]"
CELDA CUCHILLA EL CARMEN (GSCPGTCM),"CELDA CUCHILLA EL CARMEN(GSCPGTCM)
id celda:3240
isla: VILLA DE GUADALUPE","[(14.557361111111, -90.503144444444)]"
CELDA SANTA CATARINA PINULA (GSCPGTSC),"CELDA SANTA CATARINA PINULA(GSCPGTSC)
id celda:1126
isla: VILLA DE GUADALUPE","[(14.572388888889, -90.4975)]"
EUROPLAZA (GNCYGTEP),"EUROPLAZA(GNCYGTEP)
id celda:9076
Isla: VILLA DE GUADALUPE","[(14.587497222222, -90.513922222222)]"
CELDA CENTRO COMERCIAL ARKADIA (GNCYGTKD),"CELDA CENTRO COMERCIAL ARKADIA(GNCYGTKD)
id celda:5452-5457
isla: VILLA DE GUADALUPE","[(14.580236111111, -90.4931)]"
DESIGN CENTER (GNCYGTDT),"DESIGN CENTER(GNCYGTDT)
id celda:6097/6067
isla: VILLA DE GUADALUPE","[(14.599019444444, -90.50868333333298)]"
GBM (MPE_GBM),"GBM(MPE_GBM)
id celda:
isla:","[(14.582472222222, -90.494641666667)]"
(GBM-CSC0),"(GBM-CSC0)
id celda:
isla: VILLA DE GUADALUPE","[(14.582472222222, -90.494641666667)]"
CELDA LA AURORA (GNCYGTAU),"CELDA LA AURORA(GNCYGTAU)
id celda:1010
Isla: VILLA DE GUADALUPE","[(14.597666666667, -90.527361111111)]"
CELDA PAMPLONA ZONA 13 (GNCYGTPZ),"CELDA PAMPLONA ZONA 13(GNCYGTPZ)
id celda:1627
isla: VILLA DE GUADALUPE","[(14.604277777778, -90.533055555556)]"
ZONA PRADERA (GNCYGTSZ),"ZONA PRADERA(GNCYGTSZ)
id celda:6086
Isla: VILLA DE GUADALUPE","[(14.581763888889, -90.495397222222)]"
GUARDA VIEJO ARRIBA (GNCYGTG2),"GUARDA VIEJO ARRIBA(GNCYGTG2)
id celda:2018
isla: GUARDA VIEJO
SERVIDORES ODAP
TIVOLI
VILLA DE GUADALUPE
CORE
ROUTE REFLECTOR
SERVICIOS ESPECIALES
ISLA DE SERVICIOS
MPBN","[(14.615, -90.534166666667)]"
BOULEVARD SAN CRISTOBAL (GMIXGTBU),"BOULEVARD SAN CRISTOBAL(GMIXGTBU)
id celda:2102
Isla: EL CARMEN","[(14.603194444444, -90.583083333333)]"
EL CARMEN (GNCYGTEC),"EL CARMEN(GNCYGTEC)
id celda:2022
isla: EL CARMEN
RCT","[(14.593222222222, -90.551361111111)]"
SAN JACINTO (GMIXGTSJ),"SAN JACINTO(GMIXGTSJ)
id celda:2025
isla: EL CARMEN","[(14.620638888889, -90.596838888889)]"
EL FISCAL (GPALGTFI),"EL FISCAL(GPALGTFI)
id celda:
isla: LOURDES","[(14.715963888889, -90.398519444444)]"
LOURDES (GNCYGTLO),"LOURDES(GNCYGTLO)
id celda:
isla: LOURDES
RCT","[(14.648194444444, -90.474138888889)]"
CELDA SANTA CLARA ATLANTICO (GNCYGTSA),"CELDA SANTA CLARA ATLANTICO(GNCYGTSA)
id celda:
isla: LOURDES","[(14.6488, -90.43540277777801)]"
VILLAS DE ALCALA (GNCYGTVD),"VILLAS DE ALCALA(GNCYGTVD)
id celda:9057
isla: LOURDES","[(14.679275, -90.41329444444402)]"
CELDA CRUCE A PALENCIA (GPALGTCA),"CELDA CRUCE A PALENCIA(GPALGTCA)
id celda:1258
isla: LOURDES","[(14.710694444444, -90.384972222222)]"
CELDA AGUA CALIENTE II (YSAPGTAC),"CELDA AGUA CALIENTE II(YSAPGTAC)
id celda:1635
isla: LOURDES","[(14.7517, -90.3328)]"
SAN JOSE DEL GOLFO (GSJGGTSJ),"SAN JOSE DEL GOLFO(GSJGGTSJ)
id celda:
isla: LOURDES","[(14.7612, -90.3714)]"
CELDA SANTO DOMINGO LOS OCOTES (YSAPGTSD),"CELDA SANTO DOMINGO LOS OCOTES(YSAPGTSD)
id celda:1740
Isla: LOURDES","[(14.7817, -90.320297222222)]"
SAN ANTONIO LA PAZ (PRO246)_XT (YSAPGTSN),"SAN ANTONIO LA PAZ (PRO246)_XT(YSAPGTSN)
id celda:6499
isla: LOURDES","[(14.780611111111, -90.30344)]"
CELDA AZACUALPILLA (GPALGTAU),"CELDA AZACUALPILLA(GPALGTAU)
id celda:2190
Isla: LOURDES","[(14.7235, -90.36313888888898)]"
CELDA LOS ANGELES ZONA 18 (GNCYGTAN),"CELDA LOS ANGELES ZONA 18(GNCYGTAN)
id celda:4512
Isla: LOURDES","[(14.6456, -90.42789999999998)]"
CELDA LOS TECOMATES (GPALGTTE),"CELDA LOS TECOMATES(GPALGTTE)
id celda:
isla: LOURDES","[(14.632569444444, -90.377527777778)]"
LOS OCOTES_XT_SBA (GNCYGT6X),"LOS OCOTES_XT_SBA(GNCYGT6X)
id celda:6127
isla: LOURDES","[(14.60304, -90.41356)]"
VILLA ATLANTIS (GNCYGTVK),"VILLA ATLANTIS(GNCYGTVK)
id celda:9055
isla: LOURDES","[(14.651741666667, -90.454277777778)]"
SAN PEDRO AYAMPUC (GSPAGTSP),"SAN PEDRO AYAMPUC(GSPAGTSP)
id celda:
Isla: LOURDES","[(14.777777777778, -90.45277777777798)]"
COLONIA MAYA (GNCYGTCM),"COLONIA MAYA(GNCYGTCM)
id celda:1016
isla: LOURDES","[(14.668888888889, -90.463833333333)]"
CELDA LAGUNILLA LO DE REYES (GSPAGTLL),"CELDA LAGUNILLA LO DE REYES(GSPAGTLL)
id celda:3606
isla: LOURDES","[(14.740916666667, -90.45097222222199)]"
CELDA FAMILIAS DE ESPERANZA CHINAUTLA (GCHIGTFE),"CELDA FAMILIAS DE ESPERANZA CHINAUTLA(GCHIGTFE)
id celda:
isla: LOURDES","[(14.723694444444, -90.464561111111)]"
CELDA ALTOS DE SANTA MARIA (GSPAGTAS),"CELDA ALTOS DE SANTA MARIA(GSPAGTAS)
id celda:5228
isla: LOURDES","[(14.7517, -90.453588888889)]"
SAN JOSE NACAHUIL_XT_SBA (GSPAGTSS),"SAN JOSE NACAHUIL_XT_SBA(GSPAGTSS)
id celda:5534
isla: LOURDES","[(14.757333330556, -90.475222219444)]"
CONDOMINIO DEL VALLE (GNCYGTCL),"CONDOMINIO DEL VALLE(GNCYGTCL)
id celda:9072
Isla: EL CARMEN","[(14.607347222222, -90.59725)]"
PAISAJES (GMIXGTPA),"PAISAJES(GMIXGTPA)
id celda:9094
isla: EL CARMEN","[(14.61155, -90.602491666667)]"
GRANJAS DE SAN CRISTOBAL (GMIXGTGS),"GRANJAS DE SAN CRISTOBAL(GMIXGTGS)
id celda:2066
isla: EL CARMEN","[(14.6027, -90.59580277777802)]"
CELDA LA BENDICION DE DIOS (GMIXGTBD),"CELDA LA BENDICION DE DIOS(GMIXGTBD)
id celda:
isla: EL CARMEN","[(14.615611111111, -90.574638888889)]"
KIO (GMIXGTKI),"KIO(GMIXGTKI)
id celda:
Isla: UTATLAN","[(14.655055555556, -90.544436111111)]"
UTATLAN (GNCYGTUT),"UTATLAN(GNCYGTUT)
id celda:2012
isla: UTATLAN","[(14.6277, -90.561202777778)]"
CELDA CHINIQUE (KCHNGTCI),"CELDA CHINIQUE(KCHNGTCI)
id celda:2404
Isla: SANTA CRUZ DEL QUICHE","[(15.043611111111, -91.026944444444)]"
CELDA ZACUALPA - CHINIQUE I (KZACGTZC),"CELDA ZACUALPA - CHINIQUE I(KZACGTZC)
id celda:2679
isla: SANTA CRUZ DEL QUICHE","[(15.0095, -90.9269)]"
CELDA JOYABAJ - ZACUALPA (KJOYGTJZ),"CELDA JOYABAJ - ZACUALPA(KJOYGTJZ)
id celda:3438
isla: SANTA CRUZ DEL QUICHE","[(15.0106, -90.8257)]"
CELDA EL BOQUERON (KJOYGTBO),"CELDA EL BOQUERON(KJOYGTBO)
id celda:4653
isla: SANTA CRUZ DEL QUICHE","[(14.947361111111, -90.913947222222)]"
CELDA TRES CRUCES (BCUBGTTC),"CELDA TRES CRUCES(BCUBGTTC)
id celda:1538
isla: SANTA CRUZ DEL QUICHE","[(15.0254, -90.6883)]"
CELDA CHUITZALIC (KSPJGTCH),"CELDA CHUITZALIC(KSPJGTCH)
id celda:3639
Isla: SANTA CRUZ DEL QUICHE","[(15.130166666667, -91.15997222222198)]"
CELDA SAN PEDRO JOCOPILAS (KSPJGTPJ),"CELDA SAN PEDRO JOCOPILAS(KSPJGTPJ)
id celda:
isla: SANTA CRUZ DEL QUICHE","[(15.0949, -91.149802777778)]"
CELDA LLANO COYOTE (HAGUGTLC),"CELDA LLANO COYOTE(HAGUGTLC)
id celda:3611
Isla: SANTA CRUZ DEL QUICHE","[(15.3136, -91.243277777778)]"
CELDA LA PRIMAVERA (TSLRGTLP),"CELDA LA PRIMAVERA(TSLRGTLP)
id celda:3420
isla: SANTA CRUZ DEL QUICHE","[(15.169138888889, -91.210083333333)]"
SAN ANTONIO ILOTENANGO (KSAIGTSA),"SAN ANTONIO ILOTENANGO(KSAIGTSA)
id celda:2418
Isla: SANTA CRUZ DEL QUICHE","[(15.048305555556, -91.228166666667)]"
CELDA CHICHE (KCHHGTCI),"CELDA CHICHE(KCHHGTCI)
id celda:2436
Isla: SANTA CRUZ DEL QUICHE","[(15.0047, -91.06689999999999)]"
CELDA QUICHE II (KSCQGTQI),"CELDA QUICHE II(KSCQGTQI)
id celda:2472
Isla: SANTA CRUZ DEL QUICHE","[(15.026222222222, -91.15050000000001)]"
CENTRO (GNCYGTAJ),"CENTRO(GNCYGTAJ)
id celda:1001-2502
Isla: RCT
CENTRO
CORE
DATACENTER CENTRO
ROUTE REFLECTOR
ISLA DE CACHING
ISLA DE SERVICIOS
SERVICIOS ESPECIALES
IMS CENTRO
MPBN
CLARO XT","[(14.637055555556, -90.51272222222201)]"
NIMAJUYU (GNCYGTNM),"NIMAJUYU(GNCYGTNM)
id celda:2110
isla: NIMAJUYU","[(14.5504, -90.5507)]"
BOSQUES DE SAN NICOLAS (GMIXGTSN),"BOSQUES DE SAN NICOLAS(GMIXGTSN)
id celda:2111
isla: BOSQUES DE SAN NICOLAS","[(14.658444444444, -90.566944444444)]"
EL MILAGRO (GMIXGTEM),"EL MILAGRO(GMIXGTEM)
id celda:2121
isla: EL MILAGRO","[(14.674444444444, -90.571666666667)]"
AMATITLAN (GAMAGTAM),"AMATITLAN(GAMAGTAM)
id celda:9061
isla: AMATITLAN","[(14.487777777778, -90.61333333333299)]"
CHIMALTENANGO (CHMLGTCM),"CHIMALTENANGO(CHMLGTCM)
id celda:2603
isla: CHIMALTENANGO","[(14.659444444444, -90.81888888888899)]"
ZACAPA (ZCPAGTZC),"ZACAPA(ZCPAGTZC)
id celda:
isla: CORE ORIENTE
ZACAPA
ISLA DE CACHING ORIENTE
MPBN ORIENTE","[(14.972777777778, -89.532777777778)]"
RETALHULEU (RTLHGTRU),"RETALHULEU(RTLHGTRU)
id celda:2230
isla: RETALHULEU
CORE OCCIDENTE
ISLA DE CACHING OCCIDENTE","[(14.535833333333, -91.678055555556)]"
GUARDA VIEJO ABAJO (GNCYGTGV),"GUARDA VIEJO ABAJO(GNCYGTGV)
id celda:9064
isla: IMS GUARDA VIEJO
VILLA DE GUADALUPE
GUARDA VIEJO
RCT
ISLA DE SERVICIOS
MPBN
IPTV GUARDA
GRANJA DE BRAS
CENTRO
ISLA DE CACHING
CLARO XT","[(14.615555555556, -90.533888888889)]"
VISTA HERMOSA (GNCYGTVH),"VISTA HERMOSA(GNCYGTVH)
id celda:1008
isla: VISTA HERMOSA","[(14.5963, -90.49479722222199)]"
PARROQUIA (GNCYGTPA),"PARROQUIA(GNCYGTPA)
id celda:9065
isla: PARROQUIA","[(14.650133333333, -90.495711111111)]"
ANTIGUA GUATEMALA (ANGTGTAN),"ANTIGUA GUATEMALA(ANGTGTAN)
id celda:2747 - 9302
isla: ANTIGUA GUATEMALA","[(14.556177777778, -90.742558333333)]"
EL ZAPOTE_XT CT (GNCYGT3Z),"EL ZAPOTE_XT CT(GNCYGT3Z)
id celda:3129
isla: CENTRO
PARROQUIA
MPBN ZAPOTE","[(14.662188888889, -90.515911111111)]"
EL FRUTAL (GSMPGTFR),"EL FRUTAL(GSMPGTFR)
id celda:3780
isla: EL FRUTAL","[(14.501980555556, -90.561380555556)]"
EL CAMINERO (GMIXGTCA),"EL CAMINERO(GMIXGTCA)
id celda:9025
isla: EL CAMINERO","[(14.659233333333, -90.588525)]"
ACATAN (GNCYGTAC),"ACATAN(GNCYGTAC)
id celda:1007
isla: ACATAN","[(14.622916666667, -90.474361111111)]"
SAN ISIDRO (GNCYGTSI),"SAN ISIDRO(GNCYGTSI)
id celda:
isla: SAN ISIDRO","[(14.618280555556, -90.45931388888899)]"
CENTRO (CEN-CSC0),"CENTRO(CEN-CSC0)
id celda:
isla: GUARDA VIEJO
SERVIDORES SINRONIA
VoIP CENTRO
RCT
DATACENTER CENTRO","[(14.637055555556, -90.51272222222201)]"
LA FLORESTA (QTZLGTLF),"LA FLORESTA(QTZLGTLF)
id celda:2312
isla: LA FLORESTA
RCT
ISLA DE CACHING OCCIDENTE
CORE OCCIDENTE
MPBN OCCIDENTE","[(14.846533333333, -91.525733333333)]"
JUTIAPA (JTPAGTJU),"JUTIAPA(JTPAGTJU)
id celda:9322
isla: CORE ORIENTE
JUTIAPA
ISLA DE CACHING ORIENTE","[(14.2875, -89.894444444444)]"
REFORMITA (GNCYGTRE),"REFORMITA(GNCYGTRE)
id celda:3342
isla: REFORMITA","[(14.6, -90.54888888888898)]"
PRIMERO DE JULIO (GMIXGTPJ),"PRIMERO DE JULIO(GMIXGTPJ)
id celda:2060
isla: PRIMERO DE JULIO","[(14.664833333333, -90.571083333333)]"
UNIVERSIDAD RAFAEL LANDIVAR (GNCYGTRL),"UNIVERSIDAD RAFAEL LANDIVAR(GNCYGTRL)
id celda:
isla: UNIVERSIDAD RAFAEL LANDIVAR","[(14.5953, -90.484497222222)]"
CELDA HUEHUETENANGO CAMBOTE (HMALGTHC),"CELDA HUEHUETENANGO CAMBOTE(HMALGTHC)
id celda:2423
isla: HUEHUETENANGO","[(15.307694444444, -91.494444444444)]"
MALACATAN (NMALGTMA),"MALACATAN(NMALGTMA)
id celda:2361
isla: MALACATAN","[(14.9205, -92.06175)]"
SOLOLA (SLLAGTSL),"SOLOLA(SLLAGTSL)
id celda:2337
isla: SOLOLA","[(14.768055555556, -91.18277777777799)]"
SAN MARCOS (NSMAGTSM),"SAN MARCOS(NSMAGTSM)
id celda:2360
isla: SAN MARCOS","[(14.963333333333, -91.791111111111)]"
MAZATENANGO (MZTNGTMZ),"MAZATENANGO(MZTNGTMZ)
id celda:2225
isla: MAZATENANGO","[(14.5325, -91.503888888889)]"
GUASTATOYA (YGUAGTGU),"GUASTATOYA(YGUAGTGU)
id celda:1441
isla: GUASTATOYA","[(14.852777777778, -90.070555555556)]"
BARBERENA (OBARGTBA),"BARBERENA(OBARGTBA)
id celda:1222
isla: BARBERENA","[(14.306111111111, -90.362222222222)]"
SANTA ELENA PETEN (PFLOGTSE),"SANTA ELENA PETEN(PFLOGTSE)
id celda:1426
isla: SANTA ELENA PETEN","[(16.9186, -89.8922)]"
CHIQUIMULA (UCHIGTCH),"CHIQUIMULA(UCHIGTCH)
id celda:1423
isla: CHIQUIMULA","[(14.799444444444, -89.545694444444)]"
RIO HONDO (ZRHOGTRH),"RIO HONDO(ZRHOGTRH)
id celda:
isla: RIO HONDO","[(15.043280555556, -89.5849)]"
LOS AMATES (IAMAGTAM),"LOS AMATES(IAMAGTAM)
id celda:1411
isla: LOS AMATES","[(15.254444444444, -89.096666666667)]"
HUEHUETENANGO (HUEHGTHU),"HUEHUETENANGO(HUEHGTHU)
id celda:2424
isla: HUEHUETENANGO","[(15.326388888889, -91.46583333333301)]"
COMOSA (GMIXGTCO),"COMOSA(GMIXGTCO)
id celda:9071
isla: EL CARMEN","[(14.598452777778, -90.59515)]"
CELDA SAN ANTONIO LA PAZ (YSAPGTSA),"CELDA SAN ANTONIO LA PAZ(YSAPGTSA)
id celda:
isla: LOURDES","[(14.756111111111, -90.285555555556)]"
CELDA CANALITOS (GNCYGTC3),"CELDA CANALITOS(GNCYGTC3)
id celda:2070
isla: LOURDES","[(14.6257, -90.4496)]"
CELDA JUANA DE ARCO I (GNCYGTJH),"CELDA JUANA DE ARCO I(GNCYGTJH)
id celda:3744
isla: LOURDES","[(14.6575, -90.46829999999999)]"
CELDA LOMAS DEL NORTE (GNCYGTOD),"CELDA LOMAS DEL NORTE(GNCYGTOD)
id celda:1563
isla: LOURDES","[(14.6433, -90.45939722222201)]"
LANCASCO_XT (GNCYGT65),"LANCASCO_XT(GNCYGT65)
id celda:6372
isla: LOURDES","[(14.650025, -90.4727)]"
CELDA DISTUN ZONA 18 (GNCYGTDO),"CELDA DISTUN ZONA 18(GNCYGTDO)
id celda:1130
isla: LOURDES","[(14.6525, -90.459297222222)]"
SAN RAFAEL ZONA 18 (GNCYGTSR),"SAN RAFAEL ZONA 18(GNCYGTSR)
id celda:1127
isla: LOURDES","[(14.6596, -90.442702777778)]"
CELDA MONTE REAL (GMIXGTME),"CELDA MONTE REAL(GMIXGTME)
id celda:2021
isla: MONTE VERDE","[(14.643330555556, -90.565469444444)]"
CELDA ALTAMURA (GSCPGTAL),"CELDA ALTAMURA(GSCPGTAL)
id celda:1108
isla: DON JUSTO","[(14.528055555556, -90.449444444444)]"
EL PERIODISTA (GMIXGTPR),"EL PERIODISTA(GMIXGTPR)
id celda:
isla: UTATLAN","[(14.6288, -90.57499722222201)]"
BETHANIA (GNCYGTBE),"BETHANIA(GNCYGTBE)
id celda:2013
isla: UTATLAN","[(14.648722222222, -90.535166666667)]"
ALDEA EL CARMEN (GSCPGTCS),"ALDEA EL CARMEN(GSCPGTCS)
id celda:
isla: VILLA DE GUADALUPE","[(14.540008333333, -90.52051666666699)]"
CELDA OAKLAND MALL (GNCYGTKM),"CELDA OAKLAND MALL(GNCYGTKM)
id celda:1153 - 3281
isla: VILLA DE GUADALUPE","[(14.595327777778, -90.50645)]"
TIVOLI (TIV-CSC0),"TIVOLI(TIV-CSC0)
id celda:
isla: TIVOLI","[(14.608822222222, -90.515472222222)]"
VILLA DE GUADALUPE (VDG-C650),"VILLA DE GUADALUPE(VDG-C650)
id celda:
isla: VILLA DE GUADALUPE","[(14.591222222222, -90.50822222222199)]"
CELDA TORRE ZONA PRADERA III (GNCYGTT3),"CELDA TORRE ZONA PRADERA III(GNCYGTT3)
id celda:6092
isla: VILLA DE GUADALUPE","[(14.582213888889, -90.493988888889)]"
RIBERA DEL RIO (GSMPGTRR),"RIBERA DEL RIO(GSMPGTRR)
id celda:
isla: VILLA HERMOSA","[(14.504194444444, -90.54350000000001)]"
VILLA HERMOSA_XT_DET (GSMPGTVI),"VILLA HERMOSA_XT_DET(GSMPGTVI)
id celda:3264
isla: VILLA HERMOSA","[(14.5190667, -90.5454139)]"
EL FRUTAL_XT (GVNUGTFL),"EL FRUTAL_XT(GVNUGTFL)
id celda:6543
isla: VILLA HERMOSA","[(14.525939, -90.553462)]"
CELDA PRADOS DE VILLA HERMOSA (GSMPGTPL),"CELDA PRADOS DE VILLA HERMOSA(GSMPGTPL)
id celda:1576
isla: VILLA HERMOSA","[(14.534222222222, -90.54588888888898)]"
CELDA VILLA HERMOSA II (GSMPGTLL),"CELDA VILLA HERMOSA II(GSMPGTLL)
id celda:2167
isla: VILLA HERMOSA","[(14.519, -90.548102777778)]"
CELDA PRADOS DE VILLA HERMOSA III (GSMPGTPA),"CELDA PRADOS DE VILLA HERMOSA III(GSMPGTPA)
id celda:2093
isla: VILLA HERMOSA","[(14.53175, -90.553361111111)]"
BOCA DEL MONTE (GVCAGTBM),"BOCA DEL MONTE(GVCAGTBM)
id celda:1029
isla: NIMAJUYU","[(14.5534, -90.526397222222)]"
CELDA LOMA REAL COUBICADO (GNCYGTRU),"CELDA LOMA REAL COUBICADO(GNCYGTRU)
id celda:4644
isla: NIMAJUYU","[(14.5418, -90.55399999999999)]"
CELDA ESMERALDA (GNCYGTEF),"CELDA ESMERALDA(GNCYGTEF)
id celda:1520
isla: NIMAJUYU","[(14.539361111111, -90.549888888889)]"
JUSTO RUFINO BARRIOS (GNCYGTJR),"JUSTO RUFINO BARRIOS(GNCYGTJR)
id celda:
isla: NIMAJUYU","[(14.5504, -90.533997222222)]"
VIENTOS DEL VALLE (GNCYGTVV),"VIENTOS DEL VALLE(GNCYGTVV)
id celda:
isla: NIMAJUYU","[(14.562572222222, -90.550294444444)]"
SANTA LUISA (GNCYGTSL),"SANTA LUISA(GNCYGTSL)
id celda:
isla: PARROQUIA","[(14.6814, -90.4889)]"
LA PARROQUIA_XT (GNCYGTQX),"LA PARROQUIA_XT(GNCYGTQX)
id celda:3132
isla: PARROQUIA","[(14.6483439, -90.5004816)]"
CELDA CIPRESALES ZONA 6 (GNCYGTIR),"CELDA CIPRESALES ZONA 6(GNCYGTIR)
id celda:1103
isla: PARROQUIA","[(14.662194444444, -90.489416666667)]"
VILLAS DE ARCANGEL (GNCYGTVR),"VILLAS DE ARCANGEL(GNCYGTVR)
id celda:
isla: PARROQUIA","[(14.672963888889, -90.50159999999998)]"
EDIFICIO ZONA 6 (GNCYGTEZ),"EDIFICIO ZONA 6(GNCYGTEZ)
id celda:1103
isla: PARROQUIA","[(14.653269444444, -90.48976944444398)]"
CELDA BARCENAS (GVNUGTBR),"CELDA BARCENAS(GVNUGTBR)
id celda:2034
isla: VILLA NUEVA","[(14.533, -90.596138888889)]"
CELDA RESIDENCIALES CATALINA II (GVNUGTC2),"CELDA RESIDENCIALES CATALINA II(GVNUGTC2)
id celda:2178
isla: VILLA NUEVA","[(14.538277777778, -90.580638888889)]"
MAGA (GVNUGTAG),"MAGA(GVNUGTAG)
id celda:9033
isla: VILLA NUEVA","[(14.519216666667, -90.62080833333299)]"
PALIN (EPALGTPA),"PALIN(EPALGTPA)
id celda:2503
isla: AMATITLAN","[(14.403972222222, -90.69880555555599)]"
CELDA LA CEIBA (EESCGTCB),"CELDA LA CEIBA(EESCGTCB)
id celda:2296
isla: ESCUINTLA","[(14.284852777778, -90.79348888888902)]"
CIUDAD VIEJA (ACVIGTCV),"CIUDAD VIEJA(ACVIGTCV)
id celda:9312
isla: ANTIGUA GUATEMALA","[(14.52493, -90.765)]"
JOCOTENANGO (AJOCGTJO),"JOCOTENANGO(AJOCGTJO)
id celda:2304
isla: ANTIGUA GUATEMALA","[(14.578527777778, -90.738888888889)]"
ANTIGUA II_XT_SBA (ANGTGTAI),"ANTIGUA II_XT_SBA(ANGTGTAI)
id celda:3062
isla: ANTIGUA GUATEMALA","[(14.554611111111, -90.72225277777801)]"
CELDA SAN CRISTOBAL EL ALTO (ANGTGTSC),"CELDA SAN CRISTOBAL EL ALTO(ANGTGTSC)
id celda:2979
isla: ANTIGUA GUATEMALA","[(14.536583333333, -90.720138888889)]"
PANORAMA (ASSAGTPA),"PANORAMA(ASSAGTPA)
id celda:
isla: ANTIGUA GUATEMALA","[(14.543399722222, -90.743499722222)]"
CELDA SANTA MARIA DE JESUS (ASMJGTMJ),"CELDA SANTA MARIA DE JESUS(ASMJGTMJ)
id celda:2333
isla: ANTIGUA GUATEMALA","[(14.498200277778, -90.708198333333)]"
SUMPANGO (ASUMGTSU),"SUMPANGO(ASUMGTSU)
id celda:
isla: CHIMALTENANGO","[(14.650008333333, -90.70327777777798)]"
EL TEJAR (CTEJGTTE),"EL TEJAR(CTEJGTTE)
id celda:9316
isla: CHIMALTENANGO","[(14.646427777778, -90.791238888889)]"
SAN MARTIN JILOTEPEQUE (CSMJGTSM),"SAN MARTIN JILOTEPEQUE(CSMJGTSM)
id celda:9351
isla: CHIMALTENANGO","[(14.78, -90.793055555556)]"
CELDA CIENAGA GRANDE (CHMLGTCG),"CELDA CIENAGA GRANDE(CHMLGTCG)
id celda:3304
isla: CHIMALTENANGO","[(14.6887, -90.79439999999998)]"
CHIMALTENANGO 2_XT_DET (CHMLGTCX),"CHIMALTENANGO 2_XT_DET(CHMLGTCX)
id celda:3473
isla: CHIMALTENANGO","[(14.6624917, -90.8182778)]"
CELDA CHIMALTENANGO IV (CHMLGTC4),"CELDA CHIMALTENANGO IV(CHMLGTC4)
id celda:4380
isla: CHIMALTENANGO","[(14.660252777778, -90.825294444444)]"
