name,description,coordinates
LIKIN (ESC215)_XT_SBA (ESJOGTLE),"LIKIN (ESC215)_XT_SBA(ESJOGTLE)
id celda:6076
Isla: ESCUINTLA","[(13.93322, -90.7624636)]"
LIKIN (ESJOGTLI),"LIKIN(ESJOGTLI)
id celda:
isla: ESCUINTLA","[(13.9334, -90.7767)]"
CELDA CEILAN (ESIQGTCE),"CELDA CEILAN(ESIQGTCE)
id celda:3242
Isla: ESCUINTLA","[(14.394444444444, -90.8995)]"
CELDA SAN ANDRES OSUNA (EESCGTSN),"CELDA SAN ANDRES OSUNA(EESCGTSN)
id celda:4207
isla: ESCUINTLA","[(14.377722222222, -90.923694444444)]"
GUANAGAZAPA (EGUAGTGU),"GUANAGAZAPA(EGUAGTGU)
id celda:2660
Isla: ESCUINTLA","[(14.2259, -90.64270000000002)]"
CELDA EL MANANTIAL (EGUAGTEM),"CELDA EL MANANTIAL(EGUAGTEM)
id celda:1270
isla: ESCUINTLA","[(14.2067, -90.71769999999998)]"
CELDA ESCUINTLA IV CEVICHERIA BLANQUI (EESCGTE4),"CELDA ESCUINTLA IV CEVICHERIA BLANQUI(EESCGTE4)
id celda:4209
Isla: ESCUINTLA","[(14.3082, -90.7809)]"
CELDA ESCUINTLA VI (EESCGTEV),"CELDA ESCUINTLA VI(EESCGTEV)
id celda:4211
isla: ESCUINTLA","[(14.30375, -90.766805555556)]"
CELDA LA DEMOCRACIA ESCUINTLA (EDEMGTLE),"CELDA LA DEMOCRACIA ESCUINTLA(EDEMGTLE)
id celda:
Isla: ESCUINTLA","[(14.229888888889, -90.94827777777799)]"
LA DEMOCRACIA ESCUINTLA (EDEMGTDE),"LA DEMOCRACIA ESCUINTLA(EDEMGTDE)
id celda:
isla: ESCUINTLA","[(14.228888888889, -90.94777777777799)]"
CELDA NUEVA CONCEPCION III (ENCOGTN3),"CELDA NUEVA CONCEPCION III(ENCOGTN3)
id celda:5627
Isla: ESCUINTLA","[(14.191372222222, -91.31033055555602)]"
CELDA CEIBA AMELIA (EGOMGTCA),"CELDA CEIBA AMELIA(EGOMGTCA)
id celda:2235
isla: ESCUINTLA","[(14.152444444444, -90.97036111111102)]"
CELDA SIPACATE (EGOMGTSP),"CELDA SIPACATE(EGOMGTSP)
id celda:
isla: ESCUINTLA","[(13.928666666667, -91.148916666667)]"
CELDA LA GOMERA (EGOMGTLG),"CELDA LA GOMERA(EGOMGTLG)
id celda:
isla: ESCUINTLA","[(14.084722222222, -91.05499999999999)]"
CELDA LA TROCHA VII (ENCOGTLT),"CELDA LA TROCHA VII(ENCOGTLT)
id celda:3212
isla: ESCUINTLA","[(14.0523, -91.346)]"
CELDA EL REPARO (ENCOGTER),"CELDA EL REPARO(ENCOGTER)
id celda:3508
isla: ESCUINTLA","[(14.1698, -91.23819999999999)]"
CELDA SAN JOSE MOGOLLON (ENCOGTSJ),"CELDA SAN JOSE MOGOLLON(ENCOGTSJ)
id celda:2780
isla: ESCUINTLA","[(14.190580555556, -91.26363888888902)]"
SIQUINALA (ESIQGTSI),"SIQUINALA(ESIQGTSI)
id celda:
Isla: ESCUINTLA","[(14.305833333333, -90.966111111111)]"
SANTA LUCIA COTZUMALGUAPA (ESLCGTSL),"SANTA LUCIA COTZUMALGUAPA(ESLCGTSL)
id celda:2209
isla: ESCUINTLA","[(14.3305, -91.01999999999998)]"
CELDA SIQUINALA (ESIQGTSQ),"CELDA SIQUINALA(ESIQGTSQ)
id celda:2205
isla: ESCUINTLA","[(14.303027777778, -90.958194444444)]"
CELDA SIQUINALA CENTRO COUBICADO (ESIQGTSE),"CELDA SIQUINALA CENTRO COUBICADO(ESIQGTSE)
id celda:3255
isla: ESCUINTLA","[(14.3043, -90.96830000000001)]"
RIO BRAVO (MRBRGTRB),"RIO BRAVO(MRBRGTRB)
id celda:2217
Isla: ESCUINTLA","[(14.398611111111, -91.320138888889)]"
CELDA POCHUTA II (CPOCGTP2),"CELDA POCHUTA II(CPOCGTP2)
id celda:1167
isla: ESCUINTLA","[(14.5439, -91.088)]"
SAN LUCAS TOLIMAN (SSLTGTSL),"SAN LUCAS TOLIMAN(SSLTGTSL)
id celda:2330
isla: ESCUINTLA","[(14.6365, -91.1465)]"
CELDA COYOLATE (ENCOGTCO),"CELDA COYOLATE(ENCOGTCO)
id celda:2213
isla: ESCUINTLA","[(14.3747, -91.1056)]"
CELDA CUYUTA (EMASGTCU),"CELDA CUYUTA(EMASGTCU)
id celda:2298
Isla: ESCUINTLA","[(14.0925, -90.8819)]"
